Title,Contributors,Partners ,Description and Result ,Status,Timeline,Target Issue,Topics
Agriculture Waste Control Regulation Review,,"Industry, AGRI",MOE Next Industry discussion of technical paper March 2014; Policy Framework Document to be Developed Prior to Second Round of Consultations,AGRI Facilitation of Industry/MOE/BCAC Meetings; Development of Technical Fact Sheets/Discussion Papers to Support and Guide Decision-Making; Identification and Resolution of Parking Lot Issues;  Second Round of Public and Industry Input to be Received; Industry Consultation Sessions to Follow as Necessary,MOE legislation or second intentions paper may be drafted in 2014,,Agriculture Nutrient and Air and Waste
Organic Matter Recycling Regulation Review,,"Industry, AGRI",Coordinate AGRI input into OMRR regulatory review and revisions. Ongoing as required (MOE leads).  Technical review needed as there is a potential for the incorporation of AD. ,"Ongoing, based on MOE timelines",,,Agriculture Nutrient and Air and Waste
Open Burning Smoke Control Regulation Review,,"Industry, AGRI","MOE is lead, AGRI to attend all meetings as requested. Assistance in Regulation writing","Ongoing, based on MOE timelines",Expected Fall 2014,,Agriculture Nutrient and Air and Waste
Recycling Regulation,,"Industry, AGRI",Brief executives and industry specialists on updates to the regulation and MMBC’s recycling stewardship plan. Provide technical support to industry and BCAC.,"Ongoing, based on MOE timelines",,,Agriculture Nutrient and Air and Waste
Water Act Modernization,,"Industry, AGRI","Provide technical advice to MOE on development of legislation, Process for Livestock water security is established, Provide technical information and outreach to farm groups with respect to groundwater licensing; develop a Q/A factsheet on groundwater licensing","Approval for WAM obtained from Cabinet, Groundwater licensing process  considers agriculture; depends on WAM process",Mar-2015,,Agriculture Nutrient and Air and Waste
BC Agriculture Nutrient and Air Working Group ,Jacquay Foyle;Allen James,"Allen James (BC Poultry, chair)",Provide forum to discuss and solve environmental issues for agriculture in BC,On-going,Ongoing,,Agriculture Nutrient and Air and Waste
Environmental Farm Planning Program (EFP) ,,AGRI,"Program identifies on-farm agri-environmental risks and, with the help of a Planning Advisor at no cost to the recipients, producers are guided through a list of priority action items and how to best address them.  Focus areas are water quality, water quantity and climate change.",Growing Forward 2 currently underway,Ongoing,,Agriculture Nutrient and Air and Waste
Beneficial Management Practice Program (BMP),,AGRI,"Program provides financial incentives to producers to enable them to implement their Environmental Farm Plans, and in doing, achieve their water quality, water quantity and climate change objectives.",Growing Forward 2 currently underway,Ongoing,,Agriculture Nutrient and Air and Waste
Promote Group Planning projects within EFP,,,Group Planning included in EFP program,Currently in the EFP program and available to producers in BC,Ongoing,,Agriculture Nutrient and Air and Waste
Environmental Indicators in the BC Agricultural Sector                                        ,Dave Poon;Geoff Hughes-Games;Jacquay Foyle,"UBC, ENV Can",Report will include a compilation of indicator data from the FV Soil Nutrient Study and the Air Quality Inventory projects. Longer term goal is to develop indicators that can be monitored. ,"Framework completed March 2014, ","~2014, outline of report requirement and possible data compilation.
Final first year GF 2 Report on indicators prepared and approved Aug 2015.",,"Nutrient Management, Air Emissions Management, Agricultural Wastes"
Fraser Valley Soil Nutrient Study (2012  with links 2005 results),Geoff Hughes-Games,"AAFC, Project Steering Committee","Complete report on 2012 Fraser Valley Soil Nutrient Study. Includes: - Scientific Report and Executive Summary,  Final reports for growers and Factsheets, Consultation with industry","Soil Studies complete. 2005 report available, 2012 report currently being completed. ","Factsheets of findings (March 2014). Scientific Report (August 2014). Final grower reports (July 2014).
Factsheets/consultation/information sessions with industry committee spring/ fall 2014",,"Nutrient Management, Air Emissions Management, Agricultural Wastes"
